,article_id,link,title,description,content,keywords,creator,language,country,category,datatype,pubDate,pubDateTZ,image_url,video_url,source_id,source_name,source_priority,source_url,source_icon,sentiment,sentiment_stats,ai_tag,ai_region,ai_org,ai_summary,duplicate
0,4e9f58028399e3efbb4cccfa378442d2,https://www.kyoto-np.co.jp/articles/-/1618380,【速報】石川県能登で震度3の地震、滋賀県でも震度1 震源は能登半島沖,15日午前4時3分ごろ、石川県能登で震度3、滋賀県でも震度1を観測する地震があった。震源は能登半島沖、震源の深さは約10キロ。地震の規模は...,ONLY AVAILABLE IN PAID PLANS,['社会'],['京都新聞デジタル'],japanese,['japan'],"['lifestyle', 'top']",news,2025-12-14 19:24:00,UTC,https://kyoto-np.ismcdn.jp/mwimgs/0/6/300wm/img_06665f00edd71b408ecda9730127cd46921552.jpg,,kyoto_np,京都新聞,140871,https://www.kyoto-np.co.jp,https://n.bytvi.com/kyoto_np.jpg,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,False
1,6d6413eee58d67f44ea4dd7e3a0826a2,https://ca.sports.yahoo.com/news/former-no-1-two-time-192355608.html,"Former No. 1, two-time major champ ties the knot in gorgeous ceremony",So Yeon Ryu first met her now husband on a blind date.,ONLY AVAILABLE IN PAID PLANS,['celebrity'],['usa today sports - golfweek'],english,['canada'],['sports'],news,2025-12-14 19:23:55,UTC,https://s.yimg.com/ny/api/res/1.2/Rh5mR4lNDOsm3dSxRYTQ0w--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD05MDA7Y2Y9d2VicA--/https://media.zenfs.com/en/usa_today_sports_golfweek_articles_635/613ddab0c3db8ec1b01492d279cf91c7,,yahoo,Yahoo! News,17,https://news.yahoo.com,https://n.bytvi.com/yahoo.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,False
2,2d8bbcfee7de5ae74e81ac4313bf7bde,https://www.timesherald.com/2025/12/14/planning-ahead-the-obamacare-debate-defines-the-end-of-year/,PLANNING AHEAD: The Obamacare debate defines the end of year,"Provisions under the Affordable Care Act, including health insurance subsidies, have become part of our culture.",ONLY AVAILABLE IN PAID PLANS,"['opinion columnists', 'opinion', 'business']",['janet colliton'],english,['united states of america'],['business'],news,2025-12-14 19:23:47,UTC,https://www.timesherald.com/wp-content/uploads/2024/12/MER-L-JanetColliton1211.jpg?strip=all&w=1400px,,timesherald,The Times Herald,4359916,https://www.timesherald.com,https://n.bytvi.com/timesherald.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,True
3,b7d7d2a6379ca63ff05ec0b739ae03c6,https://www.pottsmerc.com/2025/12/14/planning-ahead-the-obamacare-debate-defines-the-end-of-year/,PLANNING AHEAD: The Obamacare debate defines the end of year,"Provisions under the Affordable Care Act, including health insurance subsidies, have become part of our culture.",ONLY AVAILABLE IN PAID PLANS,"['business', 'opinion']",['Janet Colliton'],english,['united states of america'],['health'],opinion,2025-12-14 19:23:47,UTC,https://www.pottsmerc.com/wp-content/uploads/2021/09/mercfall.jpeg,,pottsmerc,Pottstown,59414,https://www.pottsmerc.com,https://n.bytvi.com/pottsmerc.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,False
4,c8d190e874297550964287344b2b2a2f,https://www.dailylocal.com/2025/12/14/planning-ahead-the-obamacare-debate-defines-the-end-of-year/,PLANNING AHEAD: The Obamacare debate defines the end of year,"Provisions under the Affordable Care Act, including health insurance subsidies, have become part of our culture.",ONLY AVAILABLE IN PAID PLANS,"['business', 'opinion', 'opinion columnists']",['janet colliton'],english,['united states of america'],['business'],news,2025-12-14 19:23:47,UTC,https://www.dailylocal.com/wp-content/uploads/2024/12/MER-L-JanetColliton1211.jpg?strip=all&w=1400px,,dailylocal,Daily Local,32183,https://www.dailylocal.com,https://n.bytvi.com/dailylocal.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,True
5,5a65891f6dff07ff8db0eda510eafc08,https://www.varesenews.it/2025/12/kastritis-abbiamo-provato-a-limitare-brescia-moore-la-nostra-cultura-va-rispettata/2436241/,Kastritis: “Abbiamo provato a limitare Brescia. Moore? La nostra cultura va rispettata”,Kastritis: “Abbiamo provato a limitare Brescia. Moore? La nostra cultura va rispettata”,ONLY AVAILABLE IN PAID PLANS,"['varese laghi', 'sport']",,italian,['italy'],"['lifestyle', 'top']",news,2025-12-14 19:23:34,UTC,https://www.varesenews.it/photogallery_new/images/2025/12/ioannis-kastritis-basket-2005081.1024x768.jpg,,varesenews,Varese News,1972429,https://www.varesenews.it,https://n.bytvi.com/varesenews.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,False
6,0ca4f50f8799ee0cd4eec83dc83b629f,https://www.newsday.com/sports/college/college-basketball/illinois-state-nebraska-score-j42680,"No. 24 Nebraska women lead 21-2 after one quarter, go on to 85-44 win over Illinois State","Petra Bozan scored 14 points, Britt Prince added 13 and No. 24 Nebraska outscored Illinois State 21-2 in the opening quarter in cruising to an 85-44 win to remain unbeaten on Sunday.",ONLY AVAILABLE IN PAID PLANS,"['college basketball,college,wires bot']",['the associated press'],english,['united states of america'],"['sports', 'top']",news,2025-12-14 19:23:34,UTC,,,newsday,Newsday,7356,https://www.newsday.com,https://n.bytvi.com/newsday.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,True
7,4d37aeec242e1cf33ebdf67bd784dfc7,https://www.lanouvellerepublique.fr/sports/ligue-1-lens-vainqueur-de-nice-passera-noel-en-tete-1765740212,"Ligue 1 : Lens, vainqueur de Nice, passera Noël en tête","Portés par le duo Udol-Édouard, les Sang et Or ont fait couler Nice (2-0) grâce un doublé de l’attaquant lensois qui chasse le PSG de la tête du classement de la Ligue 1 et assure à son équipe une place de leader avant la trêve hivernale.",ONLY AVAILABLE IN PAID PLANS,"['sports', 'football', 'france', 'ligue 1']",['la nouvelle république avec afp'],french,['france'],"['lifestyle', 'top']",news,2025-12-14 19:23:32,UTC,https://images.lanouvellerepublique.fr/image/upload/693f0eb19251bdbc3e8b45f1,,lanouvellerepublique_fr,Lanouvellerepublique Fr,14459,https://www.lanouvellerepublique.fr,https://n.bytvi.com/lanouvellerepublique_fr.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,False
8,f00d57830cf6a8f187459a4b270ff7c5,https://www.fotomac.com.tr/trabzonspor/2025/12/14/trabzonsporda-oleksandr-zubkov-belki-de-1-puanin-farkli-onemi-olacak,Trabzonspor'da Oleksandr Zubkov: Belki de 1 puanın farklı önemi olacak,"Trendyol Süper Lig'in 16. haftasında Trabzonspor ile Beşiktaş 3-3 berabere kaldı. Bordo mavililerin Ukraynalı yıldız oyuncusu Oleksandr Zubkov, berabere sona eren karşılaşmayı değerlendirdi. İşte detaylar...Devamı için tıklayınız",ONLY AVAILABLE IN PAID PLANS,['trabzonspor'],['Fotoma&#231;'],turkish,['turkey'],['sports'],news,2025-12-14 19:23:25,UTC,https://iaftm.tmgrup.com.tr/4531a6/1200/675/0/0/800/450?u=https%3A%2F%2Fiftm.tmgrup.com.tr%2F2025%2F12%2F14%2Ftrabzonsporda-oleksandr-zubkov-belki-de-1-puanin-farkli-onemi-olacak-1765740174835.jpeg,,fotomac,Fotomaç,16379,https://www.fotomac.com.tr,https://n.bytvi.com/fotomac.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,False
9,6dcde900b3d5042abed0147530d44644,https://www.beloitdailynews.com/news/national-news/ap-trending-summarybrief-at-2-23-p-m-est/article_47cfabf6-0484-5544-9cc6-81f89b8ed05d.html,AP Trending SummaryBrief at 2:23 p.m. EST,JetBlue flight near Venezuela avoids 'midair collision' with US Air Force tanker,ONLY AVAILABLE IN PAID PLANS,['summarybrief-trending'],['ap'],english,['united states of america'],"['top', 'crime']",news,2025-12-14 19:23:16,UTC,https://bloximages.newyork1.vip.townnews.com/beloitdailynews.com/content/tncms/custom/image/c270922e-ebc4-11eb-8571-eb444426d521.png,,beloitdailynews,Beloit Daily News,229353,https://www.beloitdailynews.com,https://n.bytvi.com/beloitdailynews.jpg,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,True
